tier,track,primary_track,paper_id,sequence,status,evidence_level,year,venue,title,overview_path,started_on,completed_on,problem_and_assumptions,observation_state_action_control,embodiment_task_data_metrics,failure_modes,research_relevance,next_action,personal_notes
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0823,1,READ,FULL_TEXT_CHECKED,1960,Journal of Basic Engineering,A New Approach to Linear Filtering and Prediction Problems,./1960/Journal-of-Basic-Enginee/1960_Journal-of-Basic-Enginee_A-New-Approach-to-Linear-Filtering-and-Prediction-Problems/01_overview.md,,,선형 동적 시스템에서 noisy observation으로부터 filtering과 prediction을 수행한다; 상태전이·관측 관계와 noise 통계가 주어져야 한다.,관측과 control/state transition을 받아 latent state와 covariance 또는 belief를 recursive update하고 estimate와 prediction을 출력한다.,robot hardware 없음; theory와 communication-control prediction examples; real-robot metric은 보고되지 않음.,비정상·비가우시안 통계와 독립 noise 예측의 한계; downstream control 성능은 직접 평가하지 않음.,SLAM·tracking·model-based control이 공유하는 state와 uncertainty propagation interface의 foundation이다.,Kalman filter의 state-transition·measurement update와 duality theorem을 확인하고 modern belief estimator와 비교한다.,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0822,2,READ,FULL_TEXT_CHECKED,1968,IEEE Transactions on Systems Science and Cybernetics,A Formal Basis for the Heuristic Determination of Minimum Cost Paths,./1968/IEEE-Transactions-on-Sys/1968_IEEE-Transactions-on-Sys_A-Formal-Basis-for-the-Heuristic-Determination-of-Minimum/01_overview.md,,,그래프에서 start-to-goal minimum-cost path를 효율적으로 찾는 문제다; successor structure·edge cost·admissible heuristic을 가정한다.,graph와 start/goal 및 g(n)·h(n) cost estimate를 입력으로 node를 확장하고 minimum-cost path를 출력한다.,graph/path-planning theory와 illustrative city graph; robot hardware나 real-robot trial은 없음.,inadmissible 또는 weak heuristic은 optimality나 search efficiency를 해칠 수 있고 node expansion과 termination이 병목이다.,task·motion planning과 symbolic replanning에서 cost-to-go guided search를 비교하기 위한 formulation foundation이다.,g(n)+h(n) expansion과 admissibility 조건을 configuration-space planner의 matched baseline으로 대조한다.,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0821,3,READ,FULL_TEXT_CHECKED,1998,Artificial Intelligence,Planning and Acting in Partially Observable Stochastic Domains,./1998/Artificial-Intelligence/1998_Artificial-Intelligence_Planning-and-Acting-in-Partially-Observable-Stochastic-Dom/01_overview.md,,,stochastic transition과 partial observation 아래에서 expected-reward policy를 선택하는 POMDP 문제다; world model·reward·observation model과 belief update를 사용할 수 있어야 한다.,observation과 action history로 belief state를 갱신하고 belief-conditioned policy가 다음 action을 선택한다; information-gathering action과 task action을 함께 다룬다.,theory와 Tiger·navigation toy domains; robot hardware나 real-robot trial은 없음.,belief와 policy-tree 크기의 폭발 및 exact solution complexity; 알려진 model과 finite-state representation에 민감하다.,부분 관측을 state estimation의 부가 요소가 아니라 planning interface의 1급 변수로 연결한다.,belief update·policy tree·finite-memory controller의 관계를 확인하고 recovery decision과 information gathering 관점으로 synthesis한다.,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0550,4,READ,FULL_TEXT_CHECKED,1987,IEEE JRA,A Unified Approach for Motion and Force Control of Robot Manipulators: The Operational Space Formulation,./1987/IEEE-JRA/1987_IEEE-JRA_A-Unified-Approach-for-Motion-and-Force-Control-of-Robot-M/01_overview.md,,,end-effector motion과 contact force를 operational space에서 제어하는 문제다; robot dynamics·Jacobian·force sensing과 model accuracy를 전제로 한다.,proprioception과 force feedback을 task-space state로 바꾸고 operational force를 joint torque로 변환하며 null-space motion을 추가한다.,PUMA 560/COSMOS와 planar simulation 및 manipulator control examples; real trial 조건은 note의 source anchor에서 확인한다.,model mismatch·kinematic singularity·redundancy·torque/contact limits가 task-space decoupling을 깨뜨릴 수 있다.,learned policy 아래에 explicit task-space stabilization과 contact-aware control layer를 두는 기준점이다.,operational-space dynamics·Jacobian·null-space 식과 실제 setup을 확인한 뒤 whole-body controller와 비교한다.,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0824,5,READ,FULL_TEXT_CHECKED,1981,"Journal of Dynamic Systems, Measurement, and Control",Hybrid Position/Force Control of Manipulators,./1981/Journal-of-Dynamic-Syste/1981_Journal-of-Dynamic-Syste_Hybrid-Position-Force-Control-of-Manipulators/01_overview.md,,,contact task에서 position과 force trajectory constraint를 서로 다른 task direction에 배분하는 문제다; constraint frame·force sensing·저수준 bandwidth가 필요하다.,position과 force observation을 complementary loop로 나누고 constraint-frame reference를 joint actuator control signal로 변환한다.,Scheinman arm·planar insertion·reaction surface X-Y table의 simulation과 physical test; trial count는 source에서 추가 확인한다.,friction·sensor calibration·task-frame error와 motion 중 force-control degradation이 주요 경계다.,semantic action과 directional force/compliance contract를 분리하는 contact-control foundation이다.,selection matrix·controller gains·force/position trial protocol을 확인하고 impedance 및 operational-space control과 synthesis한다.,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0825,6,UNREAD,FULL_TEXT_CHECKED,1985,"Journal of Dynamic Systems, Measurement, and Control",Impedance Control: An Approach to Manipulation: Part I—Theory,./1985/Journal-of-Dynamic-Syste/1985_Journal-of-Dynamic-Syste_Impedance-Control-An-Approach-to-Manipulation-Part-ITheory/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0551,7,UNREAD,FULL_TEXT_CHECKED,1996,IEEE T-RA,Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces,./1996/IEEE-T-RA/1996_IEEE-T-RA_Probabilistic-Roadmaps-for-Path-Planning-in-High-Dimension/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0552,8,UNREAD,FULL_TEXT_CHECKED,1998,Technical Report,Rapidly-Exploring Random Trees: A New Tool for Path Planning,./1998/Technical-Report/1998_Technical-Report_Rapidly-Exploring-Random-Trees-A-New-Tool-for-Path-Plannin/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0555,9,UNREAD,FULL_TEXT_CHECKED,2009,ICRA,CHOMP: Gradient Optimization Techniques for Efficient Motion Planning,./2009/ICRA/2009_ICRA_CHOMP-Gradient-Optimization-Techniques-for-Efficient-Motio/01_overview.md,,,,,,,,,
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0558,10,UNREAD,FULL_TEXT_CHECKED,2013,IROS,TrajOpt: A Sequential Convex Optimization Algorithm for Robot Motion Planning,./2013/IROS/2013_IROS_TrajOpt-A-Sequential-Convex-Optimization-Algorithm-for-Rob/01_overview.md,,,,,,,,,
