paper_id,title,year,venue,publication_kind,publication_status,category,primary_track,tier,sequence,roles,facets,evidence_level,reading_status,curation_status,identifier_status,primary_source_scope,primary_source,code_status,data_status,resource_ids,admission_reason,tier_reason,outgoing_relations,incoming_relation_count,overview_path
pr-0823,A New Approach to Linear Filtering and Prediction Problems,1960,Journal of Basic Engineering,journal,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control"",""state_estimation""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,READ,recorded,identified,paper_specific,https://doi.org/10.1115/1.3662552,not_identified,not_recorded,,"부분 관측 하의 recursive state estimation을 이해하는 핵심 기반으로, SLAM·tracking·model-based control의 공통 prerequisite다.",Common foundation and prerequisite for the Planning and control spine.,[],0,./1960/Journal-of-Basic-Enginee/1960_Journal-of-Basic-Enginee_A-New-Approach-to-Linear-Filtering-and-Prediction-Problems/01_overview.md
pr-0822,A Formal Basis for the Heuristic Determination of Minimum Cost Paths,1968,IEEE Transactions on Systems Science and Cybernetics,journal,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[],""modality"":[],""control_level"":[""feedback_control""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,READ,recorded,identified,paper_specific,https://doi.org/10.1109/TSSC.1968.300136,not_identified,not_recorded,metric:map,"A*의 admissible heuristic search를 정의한 고전으로, task/motion planning과 symbolic replanning의 탐색 기반을 이해하기 위해 등록한다.",Common foundation and prerequisite for the Planning and control spine.,[],0,./1968/IEEE-Transactions-on-Sys/1968_IEEE-Transactions-on-Sys_A-Formal-Basis-for-the-Heuristic-Determination-of-Minimum/01_overview.md
pr-0824,Hybrid Position/Force Control of Manipulators,1981,"Journal of Dynamic Systems, Measurement, and Control",journal,peer_reviewed,Robotics Foundations: Contact and Whole-Body Control,Planning and control,CORE,,foundation,"{""learning"":[],""interaction"":[""contact_rich"",""grasping"",""whole_body""],""modality"":[""force_torque""],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,READ,recorded,identified,paper_specific,https://doi.org/10.1115/1.3139652,not_identified,not_recorded,,접촉 작업에서 position과 force를 서로 다른 task direction에 배분하는 고전적 제어 관점을 제공한다.,Common foundation and prerequisite for the Planning and control spine.,[],0,./1981/Journal-of-Dynamic-Syste/1981_Journal-of-Dynamic-Syste_Hybrid-Position-Force-Control-of-Manipulators/01_overview.md
pr-0825,Impedance Control: An Approach to Manipulation: Part I—Theory,1985,"Journal of Dynamic Systems, Measurement, and Control",journal,peer_reviewed,Robotics Foundations: Contact and Whole-Body Control,Planning and control,CORE,,foundation,"{""learning"":[],""interaction"":[""contact_rich"",""grasping"",""whole_body""],""modality"":[""force_torque""],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1115/1.3140702,not_identified,not_recorded,,로봇-환경 상호작용을 단순 위치 오차가 아니라 desired mechanical impedance로 설계하는 핵심 contact-control foundation이다.,Common foundation and prerequisite for the Planning and control spine.,[],0,./1985/Journal-of-Dynamic-Syste/1985_Journal-of-Dynamic-Syste_Impedance-Control-An-Approach-to-Manipulation-Part-ITheory/01_overview.md
pr-0550,A Unified Approach for Motion and Force Control of Robot Manipulators: The Operational Space Formulation,1987,IEEE JRA,journal,peer_reviewed,Robotics Foundations: Planning and Control,Planning and control,CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""contact_rich"",""grasping""],""modality"":[""force_torque""],""control_level"":[""feedback_control""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,READ,recorded,source_only,paper_specific,https://cs.stanford.edu/group/manips/publications.html,not_released,not_recorded,,"A Unified Approach for Motion and Force Control of Robot Manipulators: The Operational Space Formulation is a CORE prerequisite because it establishes a reusable formulation or system primitive around Robotics, operational space control, force control, providing a reference point for Planning and control comparisons in the observation-to-action loop.",Common foundation and prerequisite for the Planning and control spine.,[],0,./1987/IEEE-JRA/1987_IEEE-JRA_A-Unified-Approach-for-Motion-and-Force-Control-of-Robot-M/01_overview.md
pr-0835,Learning to Predict by the Methods of Temporal Differences,1988,Machine Learning,journal,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",CORE,,foundation,"{""learning"":[""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1007/BF00115009,not_identified,not_recorded,metric:success-rate,"bootstrapped value prediction의 핵심 foundation으로 Q-learning, actor-critic, advantage estimation과 robot RL을 이해하는 prerequisite다.","Common foundation and prerequisite for the RL, IL, offline learning, and robot data spine.",[],0,./1988/Machine-Learning/1988_Machine-Learning_Learning-to-Predict-by-the-Methods-of-Temporal-Differences/01_overview.md
pr-0826,A Method for Registration of 3-D Shapes,1992,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,peer_reviewed,"3D Geometry, Registration, and Equivariance",Robotics-enabling 3D perception,CORE,,method,"{""learning"":[],""interaction"":[],""modality"":[""point_cloud""],""control_level"":[""state_estimation""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1109/34.121791,not_identified,not_recorded,metric:map,"ICP 계열 registration의 출발점으로, robot localization·mapping·object pose estimation의 고전적 geometry baseline이다.",Common foundation and prerequisite for the Robotics-enabling 3D perception spine.,[],0,./1992/IEEE-Transactions-on-Pat/1992_IEEE-Transactions-on-Pat_A-Method-for-Registration-of-3-D-Shapes/01_overview.md
pr-0827,Planning Optimal Grasps,1992,ICRA,conference,peer_reviewed,Robotics Foundations: Contact and Whole-Body Control,"Manipulation, contact, tactile, and dexterity",CORE,,foundation,"{""learning"":[""optimization_or_planning""],""interaction"":[""contact_rich"",""grasping"",""whole_body""],""modality"":[],""control_level"":[""feedback_control"",""whole_body""],""setting"":[],""embodiment"":[""arm""]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1109/ROBOT.1992.219918,not_identified,not_recorded,,"grasp quality와 contact placement를 최적화 문제로 보는 고전으로, analytic grasping에서 learned grasp proposal로 이어지는 배경이다.","Common foundation and prerequisite for the Manipulation, contact, tactile, and dexterity spine.",[],0,./1992/ICRA/1992_ICRA_Planning-Optimal-Grasps/01_overview.md
pr-0836,Q-Learning,1992,Machine Learning,journal,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",CORE,,foundation,"{""learning"":[""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1007/BF00992698,not_identified,not_recorded,metric:success-rate,"model-free off-policy action-value learning의 고전으로 DQN, offline Q-learning과 recovery option value 비교의 기반이다.","Common foundation and prerequisite for the RL, IL, offline learning, and robot data spine.",[],0,./1992/Machine-Learning/1992_Machine-Learning_Q-Learning/01_overview.md
pr-0837,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning,1992,Machine Learning,journal,peer_reviewed,Robotics Foundations: Robot Learning,"RL, IL, offline learning, and robot data",CORE,,foundation,"{""learning"":[""reinforcement_learning""],""interaction"":[""contact_rich""],""modality"":[""force_torque""],""control_level"":[""policy""],""setting"":[],""embodiment"":[]}",FULL_TEXT_CHECKED,UNREAD,recorded,identified,paper_specific,https://doi.org/10.1007/BF00992696,not_identified,not_recorded,metric:success-rate,REINFORCE likelihood-ratio gradient estimator의 고전으로 stochastic policy optimization의 출발점이다.,"Common foundation and prerequisite for the RL, IL, offline learning, and robot data spine.",[],1,./1992/Machine-Learning/1992_Machine-Learning_Simple-Statistical-Gradient-Following-Algorithms-for-Conne/01_overview.md
