tier,track,primary_track,paper_id,year,venue,title,overview_path,tags
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0823,1960,Journal of Basic Engineering,A New Approach to Linear Filtering and Prediction Problems,./1960/Journal-of-Basic-Enginee/1960_Journal-of-Basic-Enginee_A-New-Approach-to-Linear-Filtering-and-Prediction-Problems/01_overview.md,"Robotics, state estimation, Kalman Filter, Control"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0822,1968,IEEE Transactions on Systems Science and Cybernetics,A Formal Basis for the Heuristic Determination of Minimum Cost Paths,./1968/IEEE-Transactions-on-Sys/1968_IEEE-Transactions-on-Sys_A-Formal-Basis-for-the-Heuristic-Determination-of-Minimum/01_overview.md,"Robotics, Planning, graph search, A*"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0821,1998,Artificial Intelligence,Planning and Acting in Partially Observable Stochastic Domains,./1998/Artificial-Intelligence/1998_Artificial-Intelligence_Planning-and-Acting-in-Partially-Observable-Stochastic-Dom/01_overview.md,"Robotics, Planning, POMDP, partial observability, uncertainty, decision making"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0550,1987,IEEE JRA,A Unified Approach for Motion and Force Control of Robot Manipulators: The Operational Space Formulation,./1987/IEEE-JRA/1987_IEEE-JRA_A-Unified-Approach-for-Motion-and-Force-Control-of-Robot-M/01_overview.md,"Robotics, operational space control, force control, manipulation"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0824,1981,"Journal of Dynamic Systems, Measurement, and Control",Hybrid Position/Force Control of Manipulators,./1981/Journal-of-Dynamic-Syste/1981_Journal-of-Dynamic-Syste_Hybrid-Position-Force-Control-of-Manipulators/01_overview.md,"Robotics, force control, contact, manipulation"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0825,1985,"Journal of Dynamic Systems, Measurement, and Control",Impedance Control: An Approach to Manipulation: Part I—Theory,./1985/Journal-of-Dynamic-Syste/1985_Journal-of-Dynamic-Syste_Impedance-Control-An-Approach-to-Manipulation-Part-ITheory/01_overview.md,"Robotics, Impedance Control, contact, manipulation"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0551,1996,IEEE T-RA,Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces,./1996/IEEE-T-RA/1996_IEEE-T-RA_Probabilistic-Roadmaps-for-Path-Planning-in-High-Dimension/01_overview.md,"Robotics, motion planning, PRM, configuration space"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0552,1998,Technical Report,Rapidly-Exploring Random Trees: A New Tool for Path Planning,./1998/Technical-Report/1998_Technical-Report_Rapidly-Exploring-Random-Trees-A-New-Tool-for-Path-Plannin/01_overview.md,"Robotics, motion planning, RRT, kinodynamic planning"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0555,2009,ICRA,CHOMP: Gradient Optimization Techniques for Efficient Motion Planning,./2009/ICRA/2009_ICRA_CHOMP-Gradient-Optimization-Techniques-for-Efficient-Motio/01_overview.md,"Robotics, motion planning, trajectory optimization, manipulation"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0558,2013,IROS,TrajOpt: A Sequential Convex Optimization Algorithm for Robot Motion Planning,./2013/IROS/2013_IROS_TrajOpt-A-Sequential-Convex-Optimization-Algorithm-for-Rob/01_overview.md,"Robotics, motion planning, trajectory optimization, collision avoidance"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0831,2012,IROS,MuJoCo: A Physics Engine for Model-Based Control,./2012/IROS/2012_IROS_MuJoCo-A-Physics-Engine-for-Model-Based-Control/01_overview.md,"Robotics, simulation, Physics Engine, Control"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0833,2017,ICRA,Information Theoretic MPC for Model-Based Reinforcement Learning,./2017/ICRA/2017_ICRA_Information-Theoretic-MPC-for-Model-Based-Reinforcement-Le/01_overview.md,"Robotics, model predictive control, model-based RL, Planning"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0748,2020,ICAPS,PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via Optimistic Adaptive Planning,./2020/ICAPS/2020_ICAPS_PDDLStream-Integrating-Symbolic-Planners-and-Blackbox-Samp/01_overview.md,"Robotics, task and motion planning, symbolic planning, sampling, manipulation planning"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0666,2013,T-RO,Dynamic Whole-Body Motion Generation under Rigid Contacts and Other Unilateral Constraints,./2013/T-RO/2013_T-RO_Dynamic-Whole-Body-Motion-Generation-under-Rigid-Contacts/01_overview.md,"Robotics, whole-body control, rigid contact, hierarchical control"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0667,2014,IJRR,Hierarchical Quadratic Programming: Fast Online Humanoid-Robot Motion Generation,./2014/IJRR/2014_IJRR_Hierarchical-Quadratic-Programming-Fast-Online-Humanoid-Ro/01_overview.md,"Robotics, whole-body control, hierarchical QP, task hierarchy"
CORE,"Planning, control, and whole-body foundations",Planning and control,pr-0668,2018,RA-L,Whole-Body Nonlinear Model Predictive Control Through Contacts for Quadrupeds,./2018/RA-L/2018_RA-L_Whole-Body-Nonlinear-Model-Predictive-Control-Through-Cont/01_overview.md,"Robotics, whole-body control, model predictive control, quadruped"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0835,1988,Machine Learning,Learning to Predict by the Methods of Temporal Differences,./1988/Machine-Learning/1988_Machine-Learning_Learning-to-Predict-by-the-Methods-of-Temporal-Differences/01_overview.md,"Robotics, Reinforcement Learning, temporal difference, Value Learning"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0836,1992,Machine Learning,Q-Learning,./1992/Machine-Learning/1992_Machine-Learning_Q-Learning/01_overview.md,"Robotics, Reinforcement Learning, Q-learning, Value Learning"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0837,1992,Machine Learning,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning,./1992/Machine-Learning/1992_Machine-Learning_Simple-Statistical-Gradient-Following-Algorithms-for-Conne/01_overview.md,"Robotics, Reinforcement Learning, Policy Gradient, REINFORCE"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0838,1999,NeurIPS,Policy Gradient Methods for Reinforcement Learning with Function Approximation,./1999/NeurIPS/1999_NeurIPS_Policy-Gradient-Methods-for-Reinforcement-Learning-with-Fu/01_overview.md,"Robotics, Reinforcement Learning, Policy Gradient, actor-critic"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0830,2011,ICML,PILCO: A Model-Based and Data-Efficient Approach to Policy Search,./2011/ICML/2011_ICML_PILCO-A-Model-Based-and-Data-Efficient-Approach-to-Policy/01_overview.md,"Robotics, Reinforcement Learning, model-based RL, Gaussian Process"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0522,2011,AISTATS,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,./2011/AISTATS/2011_AISTATS_A-Reduction-of-Imitation-Learning-and-Structured-Predictio/01_overview.md,"Robotics, Imitation Learning, policy learning"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0560,2016,JMLR,Learning Neural Network Policies with Guided Policy Search under Unknown Dynamics,./2016/JMLR/2016_JMLR_Learning-Neural-Network-Policies-with-Guided-Policy-Search/01_overview.md,"Robotics, guided policy search, policy learning, manipulation"
CORE,"RL, IL, and policy learning foundations","RL, IL, offline learning, and robot data",pr-0523,2016,NeurIPS,Generative Adversarial Imitation Learning,./2016/NeurIPS/2016_NeurIPS_Generative-Adversarial-Imitation-Learning/01_overview.md,"Robotics, Imitation Learning, Reinforcement Learning"
